EFF test for NAcc-BLA muscimol inactivation experiment (2wk delay between EFF acq and test)

Rat A1

rat A4

1   13437	   14742	l
2   17331	   18203	l
3   20015	   21024	l
4   27805	   28489	l
5   30137	   31692	l
6   35129	   37019	l
7   44675	   47368	l
8   54029	   55446	l
9   62973	   63413	l
10   65768	   68535	l
11   77356	   79614	l
12   101480	   103765	l
13   107070	   107701	,
14   116548	   117325	l
15   122020	   122391	,
16   123316	   124479	,
17   125911	   126615	,
18   130037	   135938	,
19   140234	   141080	,
20   144497	   186740	,
21   188865	   194385	,
22   208384	   212605	,
23   231686	   234135	,
24   237210	   238562	,
25   246440	   247230	,
26   253990	   256872	l
27   264276	   266025	,
28   269576	   270190	,
29   274980	   275647	,
30   281200	   281908	,
31   286766	   289884	,
32   291815	   293672	l
33   314885	   317191	,
34   320694	   321949	,
35   327144	   330249	l
36   340093	   340923	,
37   349860	   354205	,
38   356364	   358010	k
39   363553	   364465	,
40   366928	   369613	l
41   371945	   374393	l
42   378705	   380263	l
43   382931	   386318	l
44   390392	   391037	,
45   401046	   403257	,
46   405616	   407630	,
47   409234	   409916	,
48   417545	   421473	l
49   423452	   423968	,
50   425871	   428170	,
51   429538	   430212	,
52   443079	   443701	,
53   452687	   455840	l
54   458101	   467249	,
55   468440	   470039	,
56   471074	   474101	,
57   478047	   481784	,
58   484395	   485588	,
59   490470	   491257	,
60   493339	   497070	,
61   499226	   500130	,
62   509332	   510140	l
63   511044	   514199	l
64   520864	   522061	,
65   524433	   524841	,
66   527089	   527575	,
67   534550	   535955	,
68   540018	   545962	,
69   548741	   563419	k
70   569523	   573048	l
71   579254	   579876	,
72   581931	   582545	,
73   584535	   585158	,
74   587325	   587466	,
75   588693	   598176	l
76   601476	   603112	,
77   604651	   606529	,
78   614698	   618523	,
79   621315	   624309	,
80   626566	   628488	,
81   639921	   640936	,
82   644813	   645455	,
83   647827	   650459	,
84   655920	   658056	,
85   674756	   676840	,
86   678582	   680191	,
87   690217	   692011	l
88   694441	   695849	,
89   697163	   700103	,
90   709217	   714106	,
91   715121	   715914	,
92   718538	   719858	,

rat A5

1   6303	   6397	l
2   7922	   11469	l
3   19548	   21005	l
4   23248	   24168	l
5   28413	   32506	l
6   36635	   36958	,
7   37855	   39238	l
8   42634	   43173	l
9   52121	   53984	l
10   55087	   55524	l
11   68076	   69403	l
12   73784	   75960	l
13   80270	   82061	l
14   87175	   89765	l
15   104013	   104871	l
16   121578	   122065	,
17   123846	   128974	,
18   131191	   135920	,
19   137886	   142971	,
20   144116	   146931	,
21   148115	   150049	,
22   151199	   156826	,
23   158249	   173172	,
24   174013	   174738	,
25   175408	   175954	,
26   176505	   177768	,
27   178921	   181931	,
28   188427	   189386	,
29   190878	   197871	,
30   201856	   202198	,
31   203116	   203942	,
32   204956	   206907	,
33   207915	   208420	,
34   209331	   210144	,
35   214293	   216426	,
36   218358	   218806	,
37   219801	   220801	,
38   222782	   223275	,
39   228597	   240635	,
40   243497	   244063	,
41   247025	   247614	,
42   251315	   251700	,
43   252486	   254240	,
44   257122	   267730	k
45   291869	   292275	l
46   295295	   297072	l
47   301053	   301613	,
48   319953	   320272	l
49   328802	   329100	l
50   342893	   343383	l
51   361940	   362501	l
52   364914	   366062	l
53   376629	   388583	k
54   394675	   395750	l
55   408352	   410977	l
56   418933	   424561	l
57   448109	   448956	l
58   455385	   457478	l
59   479085	   480421	l
60   484994	   487271	l
61   502558	   503264	k
62   525918	   526699	l
63   543783	   552073	k
64   554386	   554979	l
65   560253	   563805	k
66   581239	   585777	l
67   587167	   587709	l
68   597018	   602642	l
69   611978	   612784	,
70   613661	   613945	,
71   630214	   633970	l
72   647417	   650410	l
73   653358	   658258	l
74   663600	   667084	l
75   681064	   682648	l
76   689546	   689852	l
77   702907	   707559	l

rat A8

1   4652	   4966	,
2   15116	   17288	l
3   19448	   20375	,
4   22050	   22962	l
5   26375	   27316	,
6   36102	   36855	,
7   47326	   49602	,
8   52829	   56135	,
9   59308	   61181	,
10   65564	   66358	,
11   74051	   75091	,
12   76496	   86118	,
13   89178	   92577	,
14   96506	   107855	,
15   114721	   115024	,
16   121456	   122692	,
17   123197	   124373	,
18   125026	   151544	,
19   151726	   192619	,
20   192886	   198046	,
21   198551	   247976	,
22   248338	   302919	,
23   303209	   336998	,
24   338139	   350769	,
25   352619	   359102	,
26   364148	   372959	,
27   381175	   398364	,
28   403693	   405568	,
29   409049	   412768	,
30   415596	   417871	,
31   419282	   420605	,
32   435429	   444631	,
33   454200	   458073	,
34   462553	   463313	,
35   467052	   494293	k
36   496688	   498033	,
37   499815	   507637	,
38   509541	   510077	,
39   512198	   513020	,
40   523257	   523817	,
41   556341	   556904	,
42   572263	   573448	,
43   579073	   580714	l
44   582591	   583416	,
45   595958	   597378	l
46   604364	   604826	,
47   605544	   607995	l
48   612433	   613540	,
49   615283	   615839	,
50   632342	   658280	k
51   659646	   663141	k
52   666109	   666510	,
53   674646	   676670	l
54   684029	   684493	l
55   686272	   686834	,
56   692195	   700786	,
57   702819	   709186	,
58   714558	   716595	,

rat A6

1   1540	   3033	l
2   17397	   17875	l
3   19121	   19678	l
4   21443	   22243	l
5   32055	   34171	l
6   34936	   36033	l
7   46822	   47469	k
8   48369	   49624	l
9   66621	   68181	l
10   70757	   72402	l
11   75607	   80352	k
12   84762	   87039	l
13   96934	   97451	l
14   100198	   101666	l
15   103686	   104110	l
16   106325	   109655	l
17   118457	   118710	l
18   121304	   122566	,
19   123818	   125709	,
20   126440	   128984	,
21   129661	   132979	,
22   133663	   142888	,
23   144458	   151775	,
24   152686	   156931	,
25   157616	   172439	,
26   174772	   175341	,
27   176236	   178298	,
28   179884	   194425	,
29   194621	   195667	,
30   197486	   199085	,
31   200473	   204240	,
32   206107	   207494	,
33   208434	   220072	,
34   221564	   221894	,
35   224303	   225355	,
36   227449	   230663	,
37   242080	   242397	,
38   246729	   247597	,
39   251833	   253401	l
40   254841	   264521	,
41   269023	   269611	,
42   287327	   288905	,
43   292455	   293726	l
44   295693	   296568	,
45   312337	   312847	l
46   315117	   315633	,
47   342971	   345193	l
48   354233	   355887	l
49   362959	   366580	k
50   403393	   404163	,
51   446855	   452251	l
52   463164	   464104	,
53   473841	   475734	,
54   485687	   486080	l
55   486891	   487492	,
56   513708	   514619	,
57   525506	   526078	,
58   538623	   539001	l
59   554480	   575401	k
60   583165	   585536	l
61   589734	   594786	l
62   598821	   599594	,
63   643408	   644200	,
64   649137	   650007	,
65   663239	   680359	k
66   704933	   705577	,

rat A7

1   4593	   4939	l
2   14869	   19045	l
3   22129	   23466	l
4   33907	   37432	l
5   39360	   40075	,
6   41742	   42133	,
7   48526	   51545	,
8   53902	   55518	,
9   65638	   69139	l
10   71689	   72205	l
11   72846	   73643	l
12   77412	   80311	l
13   90524	   95755	l
14   122003	   127392	,
15   128192	   151987	,
16   153714	   191705	,
17   195800	   196591	,
18   199468	   200554	,
19   202066	   228541	,
20   230264	   232202	,
21   241761	   244081	,
22   245382	   246866	,
23   248890	   250306	,
24   255252	   255813	,
25   257209	   257596	,
26   282882	   284520	,
27   289428	   290337	,
28   292730	   294302	,
29   307849	   308629	,
30   312277	   313030	,
31   314094	   323969	k
32   330763	   331336	,
33   332290	   332913	,
34   344843	   345479	,
35   347159	   347430	,
36   348492	   348881	,
37   353634	   354568	,
38   371690	   373986	,
39   374505	   375175	,
40   382019	   382546	,
41   397072	   406628	l
42   411715	   412542	,
43   417706	   423709	l
44   426413	   426960	,
45   429214	   429972	,
46   433160	   433593	,
47   441127	   443663	l
48   455602	   456850	k
49   463241	   465592	l
50   473773	   474836	,
51   479035	   481088	,
52   482104	   483194	,
53   486773	   499032	k
54   499936	   504383	k
55   504825	   515074	k
56   516792	   517377	,
57   535698	   536145	l
58   536970	   537640	,
59   543279	   546181	l
60   548872	   550764	l
61   563090	   563688	,
62   564274	   566727	l
63   599020	   599914	,
64   600628	   601459	,
65   602569	   603024	k
66   608213	   609876	,
67   611153	   611584	,
68   625684	   627279	,
69   650547	   651250	,
70   657804	   658264	l
71   684699	   690084	l
72   699645	   701856	l
73   704391	   706724	l
74   716285	   719598	l

rat A11

removed his headcap on his own- behavior looks weird - no freezing at all--yoked to b3

rat A12

1   2002	   2559	l
2   5449	   6712	l
3   14226	   14761	l
4   32760	   35523	k
5   36151	   36848	l
6   38561	   39333	l
7   45912	   47883	l
8   57579	   59897	l
9   72605	   73169	l
10   75448	   76092	l
11   77569	   78509	l
12   94279	   95034	l
13   115606	   116385	,
14   127134	   128476	,
15   130159	   134418	,
16   137431	   140038	,
17   142476	   144663	,
18   146173	   150194	,
19   151816	   153292	,
20   154822	   155530	,
21   159214	   159714	,
22   167497	   167791	l
23   168949	   170537	,
24   172121	   174590	,
25   176235	   177485	,
26   178846	   182802	,
27   185886	   186708	,
28   204619	   207211	l
