day 2 eff training
rearing (l), nosepoking (p) and grooming (k) rated for 32 minutes
2 min. acclimation and 30 min. session

rat#105

79   1311055	   1318176	p
80   1323253	   1323804	l
81   1325136	   1325696	p
82   1327849	   1329662	l
83   1329882	   1334870	p
84   1335981	   1337333	l
85   1452749	   1456474	l
86   1462673	   1470835	k
87   1509461	   1512084	l
88   1513326	   1514378	p
89   1537491	   1541457	l
90   1600672	   1603295	l
91   1625277	   1627881	l
92   1632928	   1633359	l
93   1634150	   1638246	l
94   1647409	   1651775	l
95   1655741	   1660468	l
96   1663202	   1664884	l
97   1665505	   1665855	p
98   1666937	   1677913	p
99   1678273	   1681278	l
100   1682920	   1704130	k
101   1704671	   1732321	k
102   1736537	   1747072	k
103   1767562	   1775844	k
104   1778027	   1780390	l
105   1781281	   1782393	l
106   1789834	   1793839	l
107   1800549	   1808721	l
108   1810694	   1812657	p
110   1872162	   1882377	p
111   1919160	   1920001	p

rat#117

1   7161	   8322	l
2   17175	   18937	p
3   22052	   22983	l
4   31155	   32046	l
5   38466	   39817	l
6   46858	   48129	l
7   59786	   61419	l
8   70822	   72785	l
9   84051	   92103	p
10   107254	   109928	l
11   886535	   891542	p
12   955254	   958679	l
13   959981	   961633	p
14   992287	   992557	p
15   1009332	   1028339	k
16   1047737	   1049529	k
17   1207697	   1212454	l
18   1222728	   1223940	p
19   1286440	   1288763	l
20   1301832	   1305918	l
21   1367967	   1370321	l
22   1373936	   1378943	l
23   1432150	   1434984	l
24   1560624	   1563318	l
25   1566843	   1569137	l
26   1579562	   1596626	k
27   1619249	   1621922	l
28   1632868	   1635632	l
29   1646127	   1659637	p
30   1663202	   1664063	l
31   1682399	   1686025	p
32   1689630	   1703670	p
33   1726232	   1730238	l
34   1741274	   1741655	p
35   1763135	   1767261	l
36   1830002	   1834718	l
37   1841298	   1845754	l
38   1864251	   1867516	l
39   1913061	   1920161	p

rat#120

1   17535	   19608	l
2   45095	   47198	l
3   48199	   48880	l
4   62680	   64062	l
5   77892	   81758	p
6   90140	   95497	p
7   100174	   101856	l
8   115496	   116608	l
9   254997	   256108	p
10   268746	   270229	p
11   458519	   462365	l
12   520008	   525646	k
13   540147	   541519	l
14   584450	   585792	p
15   587545	   594705	p
16   608886	   609937	l
17   643585	   647100	l
18   658066	   659719	p
19   670084	   679968	p
20   684464	   693297	p
21   714137	   714738	l
22   779301	   780242	p
23   781954	   783196	l
24   784839	   785760	l
25   790607	   791859	l
26   799179	   799810	l
27   803816	   804927	l
28   805508	   806009	p
29   812098	   813099	l
30   855310	   857032	p
31   927063	   930228	l
32   938099	   938920	l
33   959740	   963375	l
34   1012816	   1013577	l
35   1029831	   1033266	l
36   1038423	   1039014	p
37   1040346	   1040817	p
38   1082276	   1084970	l
39   1105009	   1108864	k
40   1110547	   1117807	p
41   1120091	   1122174	l
42   1126239	   1128753	p
43   1135252	   1137365	l
44   1147210	   1151596	l
45   1153809	   1156102	l
46   1156773	   1159297	l
47   1189781	   1192114	l
48   1196080	   1196661	l
49   1207887	   1209519	l
50   1210370	   1210801	l
51   1214356	   1216039	l
52   1216369	   1217441	l
53   1223660	   1224681	l
54   1225212	   1228326	p
55   1231240	   1241345	p
56   1244069	   1245912	l
57   1247103	   1249166	p
58   1287842	   1291908	l
59   1312597	   1313278	p
60   1335360	   1337283	l
61   1344133	   1347137	l
62   1347888	   1349000	l
63   1354297	   1356460	l
64   1359365	   1360636	l
65   1361227	   1362329	l
66   1367106	   1368838	l
67   1369429	   1371122	l
68   1375288	   1375678	p
69   1380014	   1380685	p
70   1391150	   1391952	l
72   1399993	   1412431	k
73   1431288	   1432089	l
74   1434963	   1440852	l
75   1444627	   1452579	l
76   1454021	   1455553	k
77   1467260	   1468091	l
78   1489592	   1490473	l
79   1498244	   1501369	l
80   1502240	   1505595	l
81   1506316	   1509871	l
82   1512895	   1514157	l
83   1516811	   1531502	p
84   1533094	   1535007	p
85   1537661	   1539964	l
86   1540655	   1541637	l
87   1561155	   1563518	l
88   1563809	   1564990	l
89   1565461	   1567544	l
90   1568636	   1569857	l
91   1570578	   1572081	l
92   1581374	   1583207	l
93   1584008	   1585189	l
94   1588584	   1589456	l
95   1591779	   1592270	l
96   1592630	   1594222	l
97   1596946	   1598428	p
98   1605078	   1608793	l
99   1609204	   1609584	p
100   1643683	   1645636	l
101   1648360	   1651014	l
102   1652015	   1655330	l
103   1656242	   1659086	l
104   1661179	   1669841	l
105   1678313	   1679415	p
106   1690831	   1691392	l
107   1753101	   1755084	l
108   1773660	   1787851	p
109   1790194	   1791766	l
110   1792918	   1807349	p
111   1807840	   1812246	p
112   1814209	   1816933	l
113   1817734	   1818976	l
114   1819606	   1820688	l
115   1821099	   1824544	l
116   1830392	   1831333	p
117   1832435	   1835960	l
118   1836491	   1839455	l
119   1840036	   1841208	l
120   1846385	   1848838	l
121   1849309	   1854116	l
122   1855568	   1856570	l
123   1858582	   1862758	l
124   1863269	   1865282	l
125   1875737	   1880494	l
126   1884319	   1884840	p

rat#116

1   25016	   31355	p
2   35521	   35842	p
3   40558	   41590	p
4   43302	   45726	l
5   77722	   79034	l
6   89749	   94175	p
7   102047	   102628	p
8   103048	   104661	l
9   114124	   115716	l
10   673569	   675982	p
11   1057551	   1060515	p
12   1075276	   1076308	p
13   1156964	   1158556	l
14   1186166	   1187387	p
15   1223720	   1228997	p
16   1236808	   1238371	p
17   1239522	   1240173	l
18   1265800	   1267042	k
19   1270978	   1276546	k
20   1277607	   1281793	p
21   1286350	   1291918	p
22   1310204	   1311576	p
23   1328190	   1331795	p
24   1427122	   1431769	p
25   1445769	   1446550	p
26   1479437	   1480018	p
27   1617926	   1622793	p
28   1649512	   1660237	p
29   1684733	   1687466	p
30   1739261	   1740262	p
31   1741164	   1744529	p
32   1774502	   1775493	p
33   1792397	   1793619	p
34   1826336	   1828670	p
35   1873304	   1873955	p
36   1906021	   1908925	l
37   1909906	   1911018	l

rat#118

1   12658	   16334	l
2   20800	   22593	l
3   23183	   29442	p
4   41850	   42421	l
5   76871	   78984	l
6   963536	   965168	p
7   968272	   971197	p
8   985167	   987640	l
9   1007779	   1013858	l
10   1019716	   1022851	l
11   1025154	   1026246	l
12   1028369	   1028779	p
13   1029180	   1039194	p
14   1041057	   1042008	p
15   1076478	   1077299	p
16   1078160	   1079552	p
17   1083819	   1086132	l
18   1090699	   1100032	k
19   1108394	   1111028	l
20   1116446	   1117717	l
21   1135233	   1137896	l
22   1143364	   1145577	l
23   1153238	   1155782	p
24   1156603	   1163393	p
25   1252972	   1253593	p
26   1255626	   1258920	l
27   1324054	   1324595	p
28   1330734	   1333568	l
29   1383209	   1384561	l
30   1396769	   1401465	l
31   1404800	   1407835	l
32   1414304	   1414955	p
33   1417739	   1422436	p
34   1424278	   1434473	p
35   1469563	   1471776	l
36   1495060	   1497123	l
37   1509581	   1514768	l
38   1536149	   1537080	l
39   1548917	   1551862	l
40   1552182	   1561606	p
41   1587803	   1591008	l
42   1614402	   1616585	l
43   1623304	   1625728	l
44   1636103	   1639488	l
45   1639838	   1651315	p
46   1652506	   1669300	p
47   1672665	   1680847	p
48   1761804	   1762244	p
49   1762675	   1766420	l
50   1786719	   1788822	l
51   1828129	   1830893	l
52   1888416	   1889617	l
53   1891620	   1899782	p
54   1903067	   1907463	l
55   1912410	   1913111	l
56   1914303	   1916175	l
57   1918058	   1920872	l

rat#122

1   9223	   15933	p
2   31996	   33989	l
3   35020	   35631	p
4   35882	   38305	l
5   42852	   44043	l
6   44184	   44955	p
7   50623	   52676	l
8   54889	   56702	l
9   59996	   60407	l
10   62009	   62540	l
11   66376	   70902	p
12   71313	   75689	l
13   81057	   82218	l
14   85403	   89098	l
15   93505	   93865	p
16   103529	   104290	p
17   105492	   110068	p
18   116408	   116678	l
19   117850	   118871	k
20   119512	   120103	l
21   164407	   165098	p
22   190224	   194430	p
23   237732	   238022	p
24   314102	   314602	p
25   367559	   372756	k
26   374569	   381098	p
27   399344	   400867	p
28   401768	   404732	l
29   412013	   413905	p
30   467623	   472109	p
31   504676	   506208	p
32   521600	   522441	p
33   559334	   562379	l
34   580635	   582167	p
35   584310	   585152	p
36   586213	   587635	p
37   610438	   611079	p
38   640671	   641573	p
39   644206	   645438	p
40   654041	   660139	p
41   678195	   678936	p
42   689121	   689872	p
43   691144	   694719	p
44   713015	   713446	p
45   775826	   776346	p
46   785450	   786161	p
47   813820	   820370	l
48   825768	   829843	l
49   855310	   858595	l
50   901707	   904100	l
51   931610	   932201	p
52   932411	   936397	l
53   947222	   948444	l
54   954733	   958178	l
55   979459	   1004194	k
56   1011334	   1015751	p
57   1020127	   1023151	p
58   1029731	   1034347	l
59   1066023	   1071371	l
60   1087734	   1090899	l
61   1101304	   1102045	l
62   1102996	   1103817	p
63   1144205	   1145257	l
64   1171044	   1172666	p
65   1221977	   1222578	l
66   1227285	   1231201	l
67   1252091	   1253543	l
68   1266822	   1268925	l
69   1292649	   1294451	p
70   1296735	   1301712	p
71   1306188	   1309994	l
72   1311035	   1318546	p
73   1349160	   1350913	l
74   1373265	   1375178	p
75   1433231	   1434943	p
76   1441002	   1447662	l
77   1452819	   1455092	l
78   1471146	   1472888	l
79   1488100	   1488651	l
80   1489232	   1493808	p
82   1545502	   1545903	p
83   1549979	   1551822	p
85   1573983	   1574975	l
86   1582055	   1588074	l
87   1602685	   1603826	l
88   1615423	   1618688	l
89   1661599	   1661910	l
90   1663372	   1664293	p
91   1667448	   1670893	p
92   1674868	   1683811	p
93   1686285	   1688959	l
94   1689289	   1693405	p
95   1696650	   1700295	p
96   1761713	   1767692	l
97   1769094	   1773440	l
98   1788882	   1792928	l
99   1794991	   1799277	l
100   1805046	   1809993	l
101   1826667	   1828930	k
102   1831273	   1867505	k
103   1899532	   1910187	l

rat#121

1   9383	   10885	l
2   21090	   23283	l
3   25757	   26999	l
4   37163	   39156	l
5   43232	   44934	l
6   61218	   64593	l
7   65885	   69570	p
8   79554	   81207	l
9   88157	   91481	l
10   95547	   98622	p
11   113683	   115396	l
12   118020	   118851	p
13   155754	   157036	p
14   158398	   160671	l
15   166279	   167080	k
16   178837	   181080	l
17   182352	   184685	p
18   225855	   228769	l
19   251101	   251832	l
20   258111	   259082	l
21   268316	   271831	p
22   277038	   278260	l
23   311418	   311958	p
24   334130	   337816	l
25   365505	   373106	l
26   383241	   385184	p
27   386095	   390982	p
28   395168	   402579	p
29   430919	   434455	p
30   438070	   439522	l
31   454543	   460632	l
32   460822	   461253	p
33   467252	   468914	l
34   474162	   474602	l
35   478338	   478748	p
36   490896	   492768	l
37   494952	   502332	l
38   505947	   507269	l
39   523733	   525455	l
40   525756	   526287	p
41   568607	   576579	p
42   584620	   585111	p
43   587414	   588766	l
44   589397	   593023	l
45   615795	   624298	p
46   644967	   656514	p
47   659458	   662372	p
48   663314	   664575	l
49   668241	   671005	l
50   676092	   681189	l
51   693417	   694088	p
52   694528	   695580	l
53   726254	   734726	p
54   735778	   736309	l
55   739984	   741516	l
56   742347	   744000	l
57   756848	   758781	l
58   759772	   762356	l
59   762977	   764289	l
60   768585	   773051	l
61   778970	   782535	l
62   849521	   850893	p
63   859936	   861789	l
64   865564	   868248	l
65   870492	   872715	l
66   875308	   878423	l
67   880596	   880896	p
